County,FACILITY NAME,COUNTY,FACILITY ID,AVAILABLE BEDS,AVAILABLE BEDS CAPABLE OF ISOLATION,NEW CONFIRMED POSITIVE RESIDENTS ,CURRENT ACTIVE CASES RESIDENTS ,CUMULATIVE POSITIVE RESIDENTS ,COVID-RELATED RESIDENT DEATHS,NEW CONFIRMED POSITIVE HCW   ,CURRENT ACTIVE HCW,CUMULATIVE POSITIVE HCW ,COVID-RELATED HCW DEATHS 
Alameda,HAYWARD CONVALESCENT HOSPITAL,ALAMEDA,20000123,49,0,0,0,28,<11,0,0,43,0
Alameda,HAYWARD HEALTHCARE & WELLNESS CENTER,ALAMEDA,20000039,7,2,0,0,69,<11,0,0,63,<11
Alameda,HAYWARD HILLS HEALTH CARE CENTER,ALAMEDA,20000047,7,0,0,0,90,12,0,0,28,0
Alameda,JONES CONVALESCENT HOSPITAL,ALAMEDA,20000111,2,1,0,0,<11,0,0,<11,16,0
Alameda,KAISER PERMANENTE POST-ACUTE CARE CENTER,ALAMEDA,20000042,120,5,0,<11,24,<11,0,<11,136,<11
Alameda,KYAKAMEENA CARE CENTER,ALAMEDA,20000112,5,5,0,0,<11,0,0,0,20,0
Alameda,LAKE MERRITT HEALTHCARE CENTER LLC,ALAMEDA,20000110,9,2,0,0,48,<11,0,0,39,0
Alameda,LAKE PARK RETIREMENT RESIDENCE,ALAMEDA,20000114,21,2,0,0,0,0,0,0,<11,0
Alameda,MARINA GARDEN NURSING CENTER,ALAMEDA,20000104,5,1,0,0,23,0,0,0,<11,0
Alameda,MASONIC HOME,ALAMEDA,20000040,71,7,0,0,28,<11,0,0,34,0
Alameda,MCCLURE POST ACUTE,ALAMEDA,20000099,8,0,0,0,20,0,0,0,30,0
Alameda,MEDICAL HILL HEALTHCARE CENTER,ALAMEDA,20000079,5,20,0,0,66,0,0,0,43,0
Alameda,MERCY RETIREMENT & CARE CENTER,ALAMEDA,20000100,17,17,0,0,23,12,0,0,32,0
Alameda,MORTON BAKAR CENTER,ALAMEDA,20000808,9,1,0,0,48,<11,0,0,41,0
Alameda,NILES CANYON POST ACUTE,ALAMEDA,20000101,19,13,0,0,37,<11,0,0,24,0
Alameda,OAKLAND HEALTHCARE & WELLNESS CENTER,ALAMEDA,20000115,21,10,0,0,114,<11,0,0,77,0
Alameda,OAKLAND HEIGHTS NURSING AND REHABILITATION,ALAMEDA,20000880,12,0,0,0,<11,0,0,0,13,0
Alameda,PARK BRIDGE REHABILITATION AND WELLNESS CENTER,ALAMEDA,630014635,24,4,0,0,122,<11,0,0,97,0
Alameda,PARK CENTRAL CARE AND REHABILITATION CENTER,ALAMEDA,20000094,48,2,<11,20,22,0,<11,<11,27,0
Alameda,PARKVIEW HEALTHCARE CENTER,ALAMEDA,20000090,15,2,0,<11,180,18,0,0,58,<11
Alameda,PIEDMONT GARDENS HEALTH FACILITY,ALAMEDA,20000091,38,5,0,0,23,<11,0,0,23,0
Alameda,PLEASANTON NURSING AND REHABILITATION CENTER,ALAMEDA,140000086,41,3,0,0,83,14,0,<11,91,<11
Alameda,"PRINCETON MANOR HEALTHCARE CENTER, LLC",ALAMEDA,20000054,10,10,0,0,70,<11,0,0,49,0
Alameda,"REDWOOD CONVALESCENT HOSPITAL, INC.",ALAMEDA,20000276,36,16,0,0,25,<11,0,0,27,0
Alameda,REDWOOD HEALTHCARE CENTER LLC,ALAMEDA,20000119,7,0,0,0,37,<11,0,0,23,0
Alameda,SAN LEANDRO HEALTHCARE CENTER,ALAMEDA,20000077,6,2,0,28,70,<11,<11,14,55,0
Alameda,"SERENETHOS CARE CENTER, LLC",ALAMEDA,20000074,4,0,0,0,29,<11,0,0,19,0
Alameda,ST ANTHONY CARE CENTER,ALAMEDA,20000005,2,2,0,0,<11,0,0,0,<11,0
Alameda,ST FRANCIS HEALTHCARE CENTER,ALAMEDA,20000076,8,0,0,0,53,<11,0,0,28,0
Alameda,ST JOHN KRONSTADT CONVALESCENT CENTER,ALAMEDA,20000068,13,4,<11,<11,26,<11,0,<11,31,0
Alameda,ST PAULS TOWERS,ALAMEDA,20000064,23,8,0,0,<11,0,0,0,<11,0
Alameda,ST. PATRICK'S POST ACUTE,ALAMEDA,20000037,65,10,0,0,50,19,0,0,35,0
Alameda,STRATFORD VILLA POST-ACUTE,ALAMEDA,630014957,4,3,0,0,27,<11,0,0,18,0
Alameda,THE REHABILITATION CENTER OF OAKLAND,ALAMEDA,20000274,18,0,<11,0,38,<11,0,0,38,0
Alameda,THE VINEYARDS HEALTHCARE CENTER,ALAMEDA,140000122,10,0,0,0,92,<11,0,0,61,0
Alameda,VALLEY MEMORIAL HOSPITAL D/P SNF,ALAMEDA,140000626,26,0,0,0,0,0,0,0,0,0
Alameda,VALLEY POINTE NURSING & REHABILITATION CENTER,ALAMEDA,20000066,8,3,0,0,49,<11,0,0,48,0
Alameda,VISTA POST ACUTE,ALAMEDA,20000019,7,0,0,0,80,<11,0,0,55,0
Alameda,WASHINGTON CENTER,ALAMEDA,20000275,9,16,0,0,57,<11,0,0,58,0
Alameda,WE CARE SKILLED NURSING FACILITY,ALAMEDA,20000065,1,0,0,0,<11,0,0,0,<11,0
Alameda,WINDSOR COUNTRY DRIVE CARE CENTER,ALAMEDA,20000020,24,4,0,0,102,<11,0,<11,101,0
Alameda,WINDSOR GARDENS CARE CENTER OF HAYWARD,ALAMEDA,20000103,8,4,0,0,69,<11,0,0,54,0
Alameda,WINDSOR HEALTHCARE CENTER OF OAKLAND,ALAMEDA,20000277,11,0,0,0,141,11,0,0,84,0
Alameda,WINDSOR PARK CARE CENTER OF FREMONT,ALAMEDA,20000036,14,3,0,0,37,<11,0,<11,51,0
Alameda,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,ALAMEDA,20000071,12,6,0,0,116,<11,0,0,81,0
Amador,KIT CARSON NURSING & REHABILITATION CENTER,AMADOR,30000074,136,4,0,0,96,18,0,<11,62,0
Butte,ARBOR POST ACUTE,BUTTE,230000255,34,34,0,0,166,18,0,<11,90,0
Butte,CALIFORNIA PARK REHABILITATION HOSPITAL,BUTTE,230000546,30,4,0,0,<11,<11,0,0,35,0
Butte,COUNTRY CREST POST ACUTE,BUTTE,230000802,19,5,0,0,18,<11,0,<11,51,0
Butte,ORCHARD HOSPITAL D/P SNF,BUTTE,230000327,32,1,0,0,59,13,0,<11,62,0
Butte,OROVILLE HOSPITAL POST-ACUTE CENTER,BUTTE,230000221,15,15,0,0,180,<11,0,<11,167,0
Butte,RIVERSIDE CONVALESCENT HOSPITAL,BUTTE,230000036,17,0,0,0,103,14,0,<11,97,0
Butte,SHADOWBROOK POST ACUTE,BUTTE,230000037,10,8,0,0,36,<11,0,0,13,0
Butte,WINDSOR CHICO CARE CENTER,BUTTE,230000025,27,5,0,0,61,<11,0,0,40,0
Butte,WINDSOR CHICO CREEK CARE AND REHABILITATION CENTER,BUTTE,230000029,83,23,0,0,112,<11,0,0,69,0
Calaveras,AVALON HEALTH CARE - SAN ANDREAS,CALAVERAS,30000012,39,60,0,<11,106,<11,0,<11,66,0
Colusa,COLUSA MEDICAL CENTER - SNF,COLUSA,230000424,2,4,0,0,26,<11,0,<11,22,0
Colusa,VALLEY WEST POST ACUTE,COLUSA,230000283,8,7,0,0,32,<11,0,0,64,0
Contra Costa,ALHAMBRA CONVALESCENT HOSPITAL,CONTRA COSTA,140000574,6,6,0,0,14,<11,0,0,18,0
Contra Costa,BAYBERRY SKILLED NURSING & HEALTHCARE CENTER,CONTRA COSTA,140000023,30,3,0,0,90,<11,0,<11,88,0
Contra Costa,CREEKSIDE HEALTHCARE CENTER,CONTRA COSTA,140000138,13,6,0,<11,14,0,0,<11,51,0
Contra Costa,DANVILLE POST-ACUTE REHAB,CONTRA COSTA,140000130,11,6,0,0,39,<11,0,0,35,0
Contra Costa,DELTA VIEW POST ACUTE,CONTRA COSTA,140000003,21,0,0,0,83,<11,0,<11,49,0
Contra Costa,DIAMOND RIDGE HEALTHCARE CENTER,CONTRA COSTA,140000564,31,10,0,0,31,<11,0,0,36,0
Contra Costa,GREENRIDGE POST ACUTE,CONTRA COSTA,140000038,10,10,0,0,<11,0,0,0,11,0
Contra Costa,LA CASA VIA TRANSITIONAL CARE CENTER,CONTRA COSTA,140000051,16,4,0,0,30,0,0,0,19,0
Contra Costa,LEGACY POST ACUTE CARE,CONTRA COSTA,140000102,35,3,0,0,106,<11,0,<11,84,0
Contra Costa,LONE TREE POST ACUTE,CONTRA COSTA,140000105,15,4,0,0,53,<11,0,0,41,0
Contra Costa,MANORCARE HEALTH SERVICES - ROSSMOOR,CONTRA COSTA,140000745,34,15,0,0,67,<11,0,<11,29,0
Contra Costa,MANORCARE HEALTH SERVICES - TICE VALLEY,CONTRA COSTA,140001126,19,9,0,0,135,21,0,0,75,0
Contra Costa,MARTINEZ CONVALESCENT HOSPITAL,CONTRA COSTA,140000106,0,0,0,0,0,0,0,0,0,0
Contra Costa,MORAGA POST ACUTE,CONTRA COSTA,140000081,5,0,0,0,46,0,0,<11,23,0
Contra Costa,"ORINDA CARE CENTER, LLC",CONTRA COSTA,140000092,5,1,0,0,50,<11,0,0,42,0
Contra Costa,PATTERSON CARE CENTER,CONTRA COSTA,140000024,0,0,0,0,0,0,0,0,0,0
Contra Costa,PITTSBURG SKILLED NURSING CENTER,CONTRA COSTA,140000962,14,3,0,0,33,0,0,<11,34,0
Contra Costa,PLEASANT HILL POST ACUTE,CONTRA COSTA,140000096,3,0,0,0,66,<11,0,0,43,0
Contra Costa,RICHMOND POST ACUTE CARE,CONTRA COSTA,140000049,6,1,0,0,<11,0,0,<11,15,0
Contra Costa,SAN MIGUEL VILLA,CONTRA COSTA,140000136,25,25,0,0,180,37,0,0,121,<11
Contra Costa,SAN PABLO HEALTHCARE & WELLNESS CENTER,CONTRA COSTA,140000030,22,5,0,0,91,<11,0,0,63,0
Contra Costa,SAN RAMON REGIONAL MEDICAL CENTER D/P SNF,CONTRA COSTA,140000885,0,0,0,0,0,0,0,0,0,0
Contra Costa,SHIELDS NURSING CENTER,CONTRA COSTA,140000396,14,11,0,0,16,<11,0,0,11,0
Contra Costa,SHIELDS RICHMOND NURSING CENTER,CONTRA COSTA,140000080,22,4,0,0,<11,<11,0,0,26,0
Contra Costa,STONEBROOK HEALTHCARE CENTER,CONTRA COSTA,140000733,42,0,0,0,25,<11,0,0,62,0
Contra Costa,TAMPICO TERRACE CARE CENTER,CONTRA COSTA,140000078,30,4,0,0,32,<11,0,0,<11,0
Contra Costa,THE REUTLINGER COMMUNITY,CONTRA COSTA,140001185,23,2,0,0,<11,<11,0,0,47,0
Contra Costa,VALE HEALTHCARE CENTER,CONTRA COSTA,140000061,22,0,0,0,93,13,0,0,82,0
Contra Costa,WALNUT CREEK SKILLED NURSING & REHABILITATION CENTER,CONTRA COSTA,140000083,48,2,0,0,25,<11,0,<11,72,0
Contra Costa,WILLOW PASS HEALTHCARE CENTER,CONTRA COSTA,140000121,6,0,0,0,77,<11,0,0,41,0
Contra Costa,WINDSOR MANOR REHABILITATION CENTER OF CONCORD,CONTRA COSTA,140000062,35,4,0,0,221,15,0,<11,107,<11
Contra Costa,WINDSOR ROSEWOOD CARE CENTER,CONTRA COSTA,140000082,25,4,0,0,<11,<11,0,0,23,0
Del Norte,CRESCENT CITY SKILLED NURSING,DEL NORTE,10000004,37,4,0,0,33,0,0,<11,68,0
El Dorado,BARTON HOSPITAL D/P SNF,EL DORADO,30001525,12,8,0,0,17,0,0,0,41,0
El Dorado,GOLD COUNTRY HEALTH CENTER,EL DORADO,30000063,52,0,0,0,44,14,<11,<11,39,0
El Dorado,MARSHALL MEDICAL CENTER D/P SNF,EL DORADO,30001064,14,0,0,0,0,0,0,0,0,0
El Dorado,THE PINES AT PLACERVILLE HEALTHCARE CENTER,EL DORADO,30000085,10,1,0,0,107,19,0,0,110,0
El Dorado,WESTERN SLOPE HEALTH CENTER,EL DORADO,30000047,7,6,0,0,141,<11,0,0,139,0
Fresno,"BETHEL LUTHERAN HOME, INC.",FRESNO,40000015,6,4,0,0,40,<11,0,0,45,0
Fresno,"CALIFORNIA HOME FOR THE AGED, INC.",FRESNO,40000013,50,29,0,0,53,<11,0,0,130,0
Fresno,COALINGA REGIONAL MEDICAL CENTER DP SNF,FRESNO,40000798,7,0,0,0,<11,0,0,0,18,0
Fresno,COALINGA REGIONAL MEDICAL CENTER DP/SNF,FRESNO,630013160,0,0,0,0,0,0,0,0,0,0
Fresno,COMMUNITY SUBACUTE AND TRANSITIONAL CARE CENTER,FRESNO,40000474,23,5,0,0,51,<11,0,<11,88,0
Fresno,DYCORA TRANSITIONAL HEALTH - CLOVIS,FRESNO,40000019,17,0,0,0,30,<11,<11,<11,37,0
Fresno,DYCORA TRANSITIONAL HEALTH - FOWLER,FRESNO,40000033,11,0,0,0,52,<11,0,0,52,0
Fresno,DYCORA TRANSITIONAL HEALTH - FRESNO,FRESNO,40000007,72,40,0,0,264,49,0,0,136,<11
Fresno,DYCORA TRANSITIONAL HEALTH - MANCHESTER,FRESNO,40000049,37,29,0,0,87,14,0,<11,51,0
Fresno,DYCORA TRANSITIONAL HEALTH - MEMORY CARE OF FRESNO,FRESNO,40000026,5,4,0,0,65,14,0,<11,48,0
Fresno,DYCORA TRANSITIONAL HEALTH - REEDLEY,FRESNO,40000067,11,1,0,0,55,<11,0,<11,55,0
Fresno,DYCORA TRANSITIONAL HEALTH - SANGER,FRESNO,40000077,22,0,0,0,73,<11,0,<11,77,0
Fresno,EVERGREEN CARE CENTER,FRESNO,40000012,4,4,0,0,22,<11,0,0,45,0
Fresno,FOWLER CARE CENTER,FRESNO,40000025,11,4,0,0,21,<11,0,<11,31,0
Fresno,FRESNO NURSING CENTER,FRESNO,40000043,20,0,0,0,64,11,0,<11,74,0
Fresno,FRESNO POSTACUTE CARE,FRESNO,40000004,9,2,0,0,102,<11,0,0,77,0
Fresno,HEALTHCARE CENTRE OF FRESNO,FRESNO,40000047,36,12,0,0,53,<11,0,0,45,0
Fresno,HORIZON HEALTH AND SUBACUTE CENTER,FRESNO,40000014,60,5,0,0,86,<11,0,0,73,<11
Fresno,KINGSBURG CENTER,FRESNO,40000002,6,0,0,0,98,13,0,0,97,0
Fresno,"MANNING GARDENS CARE CENTER, INC.",FRESNO,40000036,9,0,0,0,56,<11,0,<11,64,0
Fresno,NORTH POINTE HEALTHCARE CENTRE,FRESNO,40000059,24,5,0,0,43,<11,0,0,62,0
Fresno,OAKWOOD GARDENS CARE CENTER,FRESNO,40000051,21,8,0,0,104,18,0,0,116,<11
Fresno,ORCHARD POST ACUTE,FRESNO,40000069,12,0,0,0,85,<11,0,<11,51,0
Fresno,PACIFIC GARDENS NURSING AND REHABILITATION CENTER,FRESNO,40000063,34,18,0,<11,242,25,0,<11,237,0
Fresno,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CTR.,FRESNO,40000010,28,6,0,<11,30,0,<11,<11,148,0
Fresno,ROLLING HILLS CARE CENTER,FRESNO,40000052,4,4,0,0,17,<11,0,0,34,0
Fresno,SIERRA VIEW HOMES INC.,FRESNO,40000060,3,3,0,0,27,18,0,0,29,0
Fresno,SIERRA VISTA HEALTHCARE,FRESNO,40000037,15,4,0,0,130,<11,0,<11,107,0
Fresno,SUNNYSIDE CONVALESCENT HOSPITAL,FRESNO,40000061,51,0,0,0,57,<11,0,<11,51,0
Fresno,THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,FRESNO,40000076,5,3,0,<11,<11,0,0,<11,57,0
Fresno,TWILIGHT HAVEN,FRESNO,40000064,12,2,0,0,39,<11,0,0,64,0
Fresno,VETERANS HOME OF CALIFORNIA - FRESNO,FRESNO,630014894,25,25,0,0,19,0,0,0,104,0
Fresno,WILLOW CREEK HEALTHCARE CENTER,FRESNO,40001040,10,0,0,0,170,18,0,0,138,0
Glenn,WILLOWS POST ACUTE,GLENN,230000044,17,16,0,0,53,<11,0,<11,65,0
Humboldt,"EUREKA REHAB & WELLNESS CENTER, LP",HUMBOLDT,10000078,36,3,0,0,18,<11,0,0,0,0
Humboldt,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",HUMBOLDT,10000075,52,6,0,0,<11,<11,0,<11,31,0
Humboldt,"GRANADA REHAB & WELLNESS CENTER, LP",HUMBOLDT,10000024,15,4,0,0,59,<11,0,0,35,0
Humboldt,JEROLD PHELPS COMMUNITY HOSPITAL D/P SNF,HUMBOLDT,110000621,0,2,0,0,0,0,0,<11,17,0
Humboldt,"PACIFIC REHABILITATION & WELLNESS CENTER, LP",HUMBOLDT,10000051,0,0,0,0,0,0,0,0,0,0
Humboldt,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",HUMBOLDT,10000060,54,50,0,<11,15,0,0,<11,21,0
Imperial,EL CENTRO POST-ACUTE CARE,IMPERIAL,90000092,34,34,0,<11,118,21,0,0,67,0
Imperial,"IMPERIAL HEIGHTS HEALTHCARE & WELLNESS CENTRE, LLC",IMPERIAL,90000015,22,13,0,0,52,<11,0,<11,93,<11
Imperial,IMPERIAL MANOR,IMPERIAL,90000067,6,3,0,0,27,0,0,0,41,0
Inyo,BISHOP CARE CENTER,INYO,240001854,44,18,0,0,54,13,0,<11,43,0
Inyo,SOUTHERN INYO HOSPITAL D/P SNF,INYO,240001102,5,2,0,0,18,<11,0,0,30,0
Kern,ADVENTIST HEALTH DELANO D/P SNF,KERN,120000399,8,0,0,0,<11,0,0,<11,36,0
Kern,BELLA SERA,KERN,120000323,52,6,0,0,0,0,<11,<11,57,0
Kern,BROOKDALE RIVERWALK SNF (CA),KERN,120001395,14,0,0,<11,48,<11,0,0,56,0
Kern,DELANO DISTRICT SKILLED NURSING FACILITY,KERN,120000638,41,5,0,0,47,0,0,<11,87,0
Kern,HEIGHT STREET SKILLED CARE,KERN,120000331,146,2,0,0,79,18,0,0,112,0
Kern,KERN RIVER TRANSITIONAL CARE,KERN,630017642,4,0,0,<11,97,<11,0,0,148,0
Kern,KERN VALLEY HEALTHCARE DISTRICT D/P SNF,KERN,120000695,28,7,0,0,32,<11,0,<11,35,0
Kern,"KINGSTON HEALTHCARE CENTER, LLC",KERN,120000377,169,12,0,0,153,19,0,0,138,0
Kern,PARKVIEW JULIAN HEALTHCARE CENTER,KERN,120000365,15,0,<11,<11,117,<11,0,0,96,0
Kern,RIDGECREST REGIONAL TRANSITIONAL CARE AND REHABILITATION UNIT,KERN,630013665,26,6,0,0,<11,0,0,0,14,0
Kern,ROSEWOOD HEALTH FACILITY,KERN,120000369,22,3,0,0,63,<11,0,<11,91,0
Kern,SAN JOAQUIN NURSING CENTER,KERN,120000322,9,1,0,0,128,<11,<11,<11,126,0
Kern,SHAFTER NURSING CARE,KERN,120000375,15,12,0,0,87,<11,0,0,92,0
Kern,THE ORCHARDS POST-ACUTE,KERN,120000320,23,0,0,0,152,<11,0,0,139,0
Kern,THE REHABILITATION CENTER OF BAKERSFIELD,KERN,120000328,27,6,0,<11,161,16,<11,<11,158,0
Kern,VALLEY CONVALESCENT HOSPITAL,KERN,120000355,12,5,0,0,92,<11,0,0,86,0
Kern,VALLEY VIEW CARE CENTER,KERN,120000325,3,0,0,0,46,<11,0,0,38,0
Kern,WINDSOR POST-ACUTE CENTER OF ARVIN,KERN,120000373,3,0,0,0,110,<11,0,0,77,0
Kern,WINDSOR POST-ACUTE CENTER OF BAKERSFIELD,KERN,120000379,9,0,0,0,99,15,0,<11,85,<11
Kings,"HACIENDA POST ACUTE, INC.",KINGS,40000042,55,15,0,0,130,24,0,<11,168,0
Kings,HANFORD POST ACUTE,KINGS,40001364,43,5,0,0,125,14,0,0,68,0
Kings,KINGS NURSING & REHABILITATION CENTER,KINGS,40001366,16,10,0,<11,54,<11,<11,<11,84,0
Lake,LAKEPORT POST ACUTE,LAKE,110001255,9,53,0,0,76,13,0,<11,39,0
Lake,MEADOWOOD NURSING CENTER,LAKE,110001250,27,15,0,0,38,<11,0,<11,73,<11
Lake,ROCKY POINT CARE CENTER,LAKE,110001248,40,5,0,0,66,<11,0,<11,66,<11
Lassen,LASSEN NURSING & REHABILITATION CENTER,LASSEN,230000039,47,8,0,0,45,<11,0,0,27,<11
Los Angeles,AFFINITY HEALTHCARE CENTER,LOS ANGELES,940000049,9,0,0,0,52,16,0,0,127,0
Los Angeles,ALAMEDA CARE CENTER,LOS ANGELES,920000077,6,3,0,0,120,26,0,0,75,<11
Los Angeles,ALAMITOS BELMONT REHABILITATION HOSPITAL,LOS ANGELES,940000062,36,0,0,0,76,<11,0,0,68,0
Los Angeles,ALCOTT REHABILITATION HOSPITAL,LOS ANGELES,970000001,13,6,0,<11,95,<11,0,<11,98,<11
Los Angeles,ALDEN TERRACE CONVALESCENT HOSPITAL,LOS ANGELES,970000121,46,35,0,0,156,33,0,0,64,0
Los Angeles,ALEXANDRIA CARE CENTER,LOS ANGELES,970000003,27,7,0,0,157,38,0,<11,138,0
Los Angeles,"ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP",LOS ANGELES,950000101,21,1,0,0,15,<11,0,0,20,0
Los Angeles,ALHAMBRA HOSPITAL MEDICAL CENTER D/P SNF,LOS ANGELES,930000793,2,0,0,0,<11,0,0,0,12,<11
Los Angeles,ALL SAINTS HEALTHCARE,LOS ANGELES,920000001,23,0,0,0,<11,0,0,<11,78,0
Los Angeles,ALVARADO CARE CENTER,LOS ANGELES,970000129,9,2,0,0,68,<11,0,0,38,<11
Los Angeles,ANGELS NURSING HEALTH CENTER,LOS ANGELES,970000123,6,6,0,0,37,<11,<11,<11,40,<11
Los Angeles,ANTELOPE VALLEY CARE CENTER,LOS ANGELES,920000280,69,8,0,<11,127,12,0,0,190,0
Los Angeles,ARARAT CONVALESCENT HOSPITAL,LOS ANGELES,970000091,19,10,0,0,<11,<11,0,0,35,0
Los Angeles,ARARAT NURSING FACILITY,LOS ANGELES,920000292,19,0,0,0,168,38,<11,<11,234,<11
Los Angeles,ARBOR GLEN CARE CENTER,LOS ANGELES,950000012,7,0,0,0,92,12,0,0,78,0
Los Angeles,ARCADIA CARE CENTER,LOS ANGELES,950000045,0,0,0,0,76,<11,0,0,49,0
Los Angeles,ARTESIA CHRISTIAN HOME INC.,LOS ANGELES,940000093,20,4,0,0,<11,<11,0,0,56,0
Los Angeles,ASTORIA NURSING AND REHAB CENTER,LOS ANGELES,920000002,73,40,0,<11,196,39,0,0,160,0
Los Angeles,ATHERTON BAPTIST HOME-SAM B. WEST,LOS ANGELES,950000039,17,2,0,0,36,17,0,0,63,0
Los Angeles,ATLANTIC MEMORIAL HEALTHCARE CENTER,LOS ANGELES,940000007,27,0,0,0,99,<11,0,0,42,0
Los Angeles,AUTUMN HILLS HEALTH CARE CENTER,LOS ANGELES,920000306,3,0,0,0,133,22,0,<11,89,0
Los Angeles,AVALON VILLA CARE CENTER,LOS ANGELES,940000051,23,0,0,0,116,<11,0,0,111,0
Los Angeles,BALDWIN GARDENS NURSING CENTER,LOS ANGELES,950000015,5,0,0,0,55,<11,0,0,36,0
Los Angeles,BAY CREST CARE CENTER,LOS ANGELES,910000009,9,15,0,0,82,13,0,0,72,0
Los Angeles,BEACHSIDE POST ACUTE,LOS ANGELES,910000071,8,3,0,<11,99,16,0,0,106,0
Los Angeles,BEACHSIDE POST ACUTE,LOS ANGELES,940000097,13,7,0,0,49,<11,0,0,56,0
Los Angeles,BEACHWOOD POST-ACUTE & REHAB,LOS ANGELES,910000017,9,10,0,0,133,12,0,0,93,<11
Los Angeles,BEACON HEALTHCARE CENTER,LOS ANGELES,950000054,19,4,0,0,44,<11,0,0,40,0
Los Angeles,BEL TOOREN VILLA CONVALESCENT HOSPITAL,LOS ANGELES,940000047,30,8,0,0,224,15,0,<11,59,<11
Los Angeles,BEL VISTA HEALTHCARE CENTER,LOS ANGELES,940000010,0,0,0,0,22,<11,0,0,26,<11
Los Angeles,BELL CONVALESCENT HOSPITAL,LOS ANGELES,940000011,21,4,0,<11,115,28,0,0,63,0
