Price,Age,Mileage,MPG,KBB Price,CR Reliability Score
13332.00,4.00,45.90,20.00,11900.00,0.48
2437.00,22.00,167.60,31.00,1900.00,0.67
14033.00,4.00,47.00,25.00,10900.00,0.53
1850.00,21.00,174.70,38.00,1400.00,0.47
3571.00,17.00,158.00,34.00,2800.00,0.68
10038.00,8.00,92.00,24.00,7800.00,0.48
2869.00,19.00,156.40,28.00,2200.00,0.56
7188.00,10.00,116.00,28.00,5600.00,0.57
8072.00,9.00,108.40,34.00,6300.00,0.65
5882.00,12.00,134.80,24.00,3700.00,0.51
7462.00,11.00,116.20,27.00,5800.00,0.80
6126.00,13.00,139.20,29.00,4700.00,0.74
3548.00,16.00,158.90,18.00,1600.00,0.65
5552.00,13.00,145.10,20.00,4300.00,0.68
6832.00,11.00,119.50,17.00,5300.00,0.80
16450.00,2.00,32.60,40.00,12700.00,0.47
4388.00,15.00,150.60,23.00,3400.00,0.60
2654.00,19.00,165.90,23.00,1700.00,0.52
2014.00,24.00,179.90,30.00,1600.00,0.87
9122.00,8.00,105.50,27.00,7100.00,0.53
13497.00,4.00,47.40,36.00,10500.00,0.55
2430.00,19.00,171.50,32.00,1100.00,0.91
2312.00,21.00,161.30,29.00,1800.00,0.55
16450.00,2.00,36.30,37.00,12700.00,0.60
2094.00,22.00,164.40,28.00,1600.00,0.51
14790.00,3.00,39.10,18.00,11500.00,0.50
15382.00,3.00,43.90,38.00,11900.00,0.71
12198.00,6.00,69.50,19.00,9400.00,0.50
3360.00,17.00,163.00,29.00,2600.00,0.56
3305.00,16.00,161.60,22.00,1500.00,0.71
16358.00,2.00,26.20,34.00,12700.00,0.70
4003.00,16.00,149.50,31.00,3100.00,0.78
2036.00,25.00,182.60,38.00,1300.00,0.70
17581.00,1.00,15.70,32.00,15700.00,0.94
13434.00,4.00,55.30,36.00,10400.00,0.59
1899.00,25.00,181.20,31.00,1200.00,0.72
12961.00,5.00,59.20,40.00,10000.00,0.66
7987.00,9.00,108.70,24.00,6200.00,0.73
2259.00,20.00,166.40,20.00,1700.00,0.46
2835.00,18.00,166.30,17.00,2200.00,0.70
6550.00,12.00,132.60,36.00,5100.00,0.93
2157.00,22.00,169.30,24.00,1700.00,0.46
1880.00,23.00,175.10,36.00,1500.00,0.84
7732.00,10.00,120.80,32.00,6000.00,0.87
1732.00,24.00,181.70,22.00,1300.00,0.78
2116.00,22.00,172.20,22.00,1300.00,0.80
2727.00,18.00,169.00,33.00,2100.00,0.78
2219.00,22.00,176.70,18.00,1700.00,0.87
6256.00,12.00,128.30,18.00,4800.00,0.92
11077.00,6.00,72.80,22.00,8600.00,0.57
2397.00,22.00,163.50,17.00,1900.00,0.74
6928.00,11.00,119.80,26.00,5400.00,0.67
2013.00,24.00,176.00,36.00,1600.00,0.75
3559.00,18.00,150.80,26.00,2800.00,0.72
16924.00,2.00,30.00,34.00,13100.00,0.94
17719.00,1.00,17.80,35.00,13700.00,0.57
8327.00,9.00,100.90,40.00,6500.00,0.54
2243.00,21.00,161.30,40.00,1700.00,0.77
2307.00,21.00,165.50,29.00,1800.00,0.59
10941.00,6.00,83.10,37.00,8500.00,0.86
3377.00,17.00,168.10,28.00,2100.00,0.70
2030.00,23.00,165.90,31.00,1600.00,0.53
3871.00,15.00,162.40,21.00,2400.00,0.65
3346.00,18.00,163.20,28.00,2600.00,0.70
14580.00,3.00,38.40,19.00,11300.00,0.90
2095.00,25.00,184.30,26.00,1600.00,0.91
1872.00,22.00,172.60,37.00,1500.00,0.53
17916.00,1.00,11.80,17.00,13900.00,0.51
2186.00,24.00,169.60,40.00,1700.00,0.60
16841.00,2.00,19.80,21.00,13000.00,0.71
5502.00,13.00,148.60,22.00,4300.00,0.57
3650.00,16.00,146.60,33.00,2800.00,0.84
7739.00,10.00,118.00,24.00,6000.00,0.81
1919.00,25.00,185.30,24.00,1500.00,0.53
2333.00,20.00,158.50,38.00,1800.00,0.48
2758.00,19.00,160.30,21.00,2100.00,0.50
2381.00,20.00,156.40,25.00,1800.00,0.75
3459.00,18.00,159.20,27.00,2700.00,0.77
1883.00,24.00,183.40,21.00,1500.00,0.82
3968.00,15.00,160.60,30.00,3100.00,0.91
15463.00,3.00,41.60,33.00,12000.00,0.74
9081.00,8.00,108.00,27.00,7000.00,0.47
2082.00,24.00,169.50,20.00,1300.00,0.76
3646.00,16.00,158.40,21.00,2800.00,0.46
16352.00,3.00,28.10,25.00,12700.00,0.59
3405.00,18.00,156.50,40.00,2600.00,0.80
16763.00,2.00,33.20,23.00,13000.00,0.62
2145.00,21.00,158.30,32.00,1700.00,0.71
13783.00,4.00,41.40,21.00,10700.00,0.51
5215.00,13.00,148.80,36.00,4000.00,0.63
7412.00,10.00,109.00,25.00,5700.00,0.93
2226.00,21.00,163.00,38.00,1700.00,0.61
6571.00,12.00,131.00,27.00,5100.00,0.64
4218.00,14.00,147.30,18.00,3300.00,0.66
1890.00,24.00,174.00,26.00,1500.00,0.53
7336.00,10.00,112.70,37.00,5700.00,0.53
2097.00,23.00,160.20,27.00,1600.00,0.57
2531.00,21.00,159.70,34.00,2000.00,0.57
7189.00,11.00,116.20,40.00,5600.00,0.83
6093.00,13.00,140.30,30.00,4700.00,0.46
7515.00,10.00,113.70,36.00,5800.00,0.94
5097.00,13.00,149.10,36.00,3900.00,0.93
9824.00,8.00,101.30,25.00,7600.00,0.47
18281.00,1.00,18.50,23.00,14200.00,0.63
18500.00,1.00,9.00,37.00,16500.00,0.60
2195.00,23.00,164.10,24.00,1700.00,0.94
2010.00,22.00,176.50,34.00,1600.00,0.86
12080.00,6.00,69.60,24.00,9400.00,0.62
15830.00,3.00,31.10,33.00,12300.00,0.53
7961.00,9.00,108.80,28.00,6200.00,0.78
14222.00,4.00,41.90,27.00,11000.00,0.60
7806.00,10.00,123.70,24.00,6000.00,0.70
6902.00,11.00,117.20,27.00,5300.00,0.54
1970.00,24.00,170.20,37.00,1500.00,0.57
2485.00,20.00,155.80,27.00,1900.00,0.77
7378.00,9.00,117.30,33.00,5700.00,0.68
3409.00,17.00,162.00,23.00,2600.00,0.60
1855.00,21.00,172.00,33.00,1400.00,0.63
2238.00,21.00,164.20,17.00,1700.00,0.76
5802.00,13.00,134.30,38.00,4500.00,0.55
1755.00,24.00,182.00,25.00,1400.00,0.74
1832.00,20.00,174.50,27.00,1400.00,0.70
2101.00,22.00,167.40,22.00,1600.00,0.62
6996.00,11.00,119.40,33.00,5400.00,0.90
1894.00,25.00,186.70,23.00,1200.00,0.57
3110.00,18.00,161.00,21.00,2400.00,0.59
17984.00,1.00,12.70,20.00,13900.00,0.45
8273.00,10.00,112.20,22.00,6400.00,0.80
1759.00,25.00,181.50,29.00,1400.00,0.67
1767.00,24.00,185.10,40.00,1400.00,0.49
18650.00,1.00,14.20,29.00,18700.00,0.65
5611.00,13.00,151.80,39.00,4300.00,0.85
4092.00,16.00,151.00,19.00,3200.00,0.51
3985.00,14.00,147.40,40.00,3100.00,0.73
8600.00,9.00,103.30,26.00,6700.00,0.58
3978.00,14.00,146.80,18.00,3100.00,0.48
16498.00,3.00,27.00,27.00,12800.00,0.65
5076.00,13.00,144.90,26.00,2300.00,0.52
13624.00,4.00,41.90,22.00,10600.00,0.68
4074.00,14.00,150.30,22.00,3200.00,0.78
17394.00,2.00,23.10,26.00,13500.00,0.74
2407.00,23.00,161.50,31.00,1500.00,0.57
3696.00,16.00,147.70,39.00,2900.00,0.86
3542.00,16.00,161.30,28.00,2700.00,0.84
5698.00,13.00,142.50,25.00,4400.00,0.62
15561.00,2.00,31.60,35.00,12100.00,0.46
3718.00,15.00,160.60,25.00,2900.00,0.74
7871.00,10.00,108.40,19.00,6100.00,0.50
9766.00,8.00,97.20,36.00,7600.00,0.84
9507.00,8.00,96.20,36.00,7400.00,0.84
1914.00,25.00,174.10,34.00,1500.00,0.80
7477.00,10.00,109.60,38.00,5800.00,0.55
4448.00,15.00,147.00,21.00,3400.00,0.50
2027.00,25.00,176.80,37.00,1600.00,0.72
4103.00,15.00,148.50,40.00,3200.00,0.80
7548.00,11.00,118.20,18.00,5800.00,0.56
5994.00,13.00,139.00,25.00,4600.00,0.75
13339.00,5.00,52.00,26.00,10300.00,0.53
2215.00,20.00,159.00,23.00,1700.00,0.81
16794.00,2.00,25.50,32.00,13000.00,0.65
15316.00,3.00,38.90,37.00,11900.00,0.48
2540.00,20.00,160.50,31.00,2000.00,0.80
17702.00,1.00,11.10,38.00,15800.00,0.54
16424.00,2.00,30.90,22.00,12700.00,0.51
6452.00,12.00,127.20,30.00,5000.00,0.51
6888.00,11.00,122.00,22.00,5300.00,0.47
3186.00,18.00,154.10,32.00,2500.00,0.69
14961.00,3.00,44.70,24.00,11600.00,0.86
2189.00,21.00,163.10,30.00,1700.00,0.49
16152.00,2.00,34.30,30.00,12500.00,0.92
6667.00,11.00,131.20,34.00,3000.00,0.94
3646.00,17.00,166.60,30.00,2800.00,0.59
10752.00,7.00,79.00,24.00,8300.00,0.81
7143.00,10.00,124.70,36.00,5500.00,0.68
8883.00,8.00,106.00,30.00,6900.00,0.85
3843.00,15.00,149.40,22.00,3000.00,0.72
11433.00,6.00,70.10,39.00,8900.00,0.46
17168.00,1.00,11.00,39.00,13300.00,0.73
11976.00,5.00,67.00,33.00,9300.00,0.50
12250.00,6.00,67.10,26.00,9500.00,0.93
9699.00,8.00,92.80,35.00,7500.00,0.63
3260.00,16.00,155.90,37.00,2500.00,0.66
2257.00,20.00,161.00,22.00,1700.00,0.88
2233.00,22.00,173.70,22.00,1700.00,0.92
3842.00,14.00,155.90,22.00,3000.00,0.80
10117.00,7.00,88.50,21.00,7800.00,0.91
1959.00,22.00,169.20,35.00,1500.00,0.72
2132.00,19.00,174.50,34.00,1700.00,0.93
7757.00,10.00,116.10,39.00,6000.00,0.57
3327.00,18.00,165.30,38.00,2600.00,0.74
3944.00,14.00,155.50,23.00,3100.00,0.50
7731.00,9.00,117.80,33.00,6000.00,0.82
3374.00,15.00,161.80,20.00,2100.00,0.58
3642.00,17.00,159.30,18.00,2800.00,0.45
6577.00,11.00,128.50,19.00,5100.00,0.74
3409.00,17.00,164.60,22.00,2200.00,0.76
3760.00,17.00,160.10,37.00,2900.00,0.56
2501.00,20.00,155.90,26.00,1900.00,0.73
5649.00,12.00,143.80,36.00,4400.00,0.85
2073.00,22.00,166.00,29.00,1600.00,0.59
1849.00,24.00,175.90,35.00,1200.00,0.83
14582.00,3.00,43.00,22.00,11300.00,0.84
4289.00,14.00,155.10,25.00,3300.00,0.83
3461.00,17.00,156.60,31.00,2700.00,0.89
2024.00,20.00,171.70,17.00,1600.00,0.48
1910.00,25.00,178.60,26.00,1500.00,0.85
3359.00,16.00,154.10,39.00,2600.00,0.79
2035.00,25.00,176.90,27.00,1600.00,0.58
12860.00,5.00,69.00,22.00,10000.00,0.46
13896.00,4.00,42.00,21.00,12400.00,0.48
3622.00,14.00,152.40,26.00,2300.00,0.72
3353.00,16.00,159.10,23.00,2600.00,0.85
3749.00,16.00,156.30,26.00,2400.00,0.81
2060.00,23.00,163.80,38.00,1600.00,0.65
3401.00,17.00,152.30,19.00,2600.00,0.60
16956.00,2.00,17.50,40.00,13100.00,0.62
2930.00,16.00,160.80,23.00,1300.00,0.92
9989.00,7.00,98.50,35.00,7700.00,0.69
4107.00,15.00,146.70,38.00,3200.00,0.52
4426.00,15.00,146.90,26.00,3400.00,0.78
12972.00,5.00,53.40,38.00,10000.00,0.46
1725.00,24.00,177.90,33.00,800.00,0.48
3919.00,17.00,153.20,26.00,3000.00,0.49
13598.00,5.00,56.90,29.00,10500.00,0.54
8641.00,9.00,103.30,20.00,6700.00,0.71
4034.00,14.00,142.20,21.00,3100.00,0.55
7477.00,10.00,124.90,36.00,5800.00,0.64
14967.00,3.00,37.30,35.00,11600.00,0.46
3580.00,15.00,162.90,18.00,2800.00,0.73
13249.00,4.00,47.60,31.00,10300.00,0.81
2654.00,19.00,169.70,40.00,2100.00,0.75
13064.00,5.00,55.40,23.00,10100.00,0.51
2422.00,20.00,163.10,32.00,1900.00,0.75
7995.00,10.00,113.60,33.00,6200.00,0.72
11804.00,6.00,68.20,27.00,9100.00,0.70
3227.00,18.00,163.00,23.00,2500.00,0.92
14973.00,2.00,34.90,39.00,11600.00,0.47
1917.00,25.00,176.00,31.00,1500.00,0.64
1951.00,22.00,175.10,25.00,1200.00,0.88
3893.00,15.00,160.50,20.00,3000.00,0.78
6691.00,12.00,129.70,32.00,5200.00,0.49
16811.00,2.00,19.20,28.00,13000.00,0.49
9362.00,8.00,107.50,29.00,8400.00,0.55
3633.00,17.00,162.60,28.00,2300.00,0.85
10252.00,7.00,85.70,35.00,7900.00,0.48
2706.00,18.00,169.00,30.00,2100.00,0.74
2117.00,21.00,160.00,22.00,1600.00,0.80
11795.00,6.00,68.20,32.00,9100.00,0.91
15768.00,2.00,26.80,36.00,12200.00,0.68
6667.00,11.00,129.50,23.00,5200.00,0.90
14306.00,4.00,43.70,37.00,11100.00,0.88
3704.00,17.00,166.00,39.00,2900.00,0.86
12773.00,5.00,62.70,25.00,9900.00,0.78
6873.00,12.00,125.40,22.00,5300.00,0.54
16642.00,2.00,25.50,25.00,12900.00,0.51
11295.00,6.00,80.40,32.00,8700.00,0.86
12033.00,6.00,69.80,30.00,10800.00,0.47
8746.00,9.00,98.30,27.00,6800.00,0.94
2170.00,25.00,182.60,19.00,1700.00,0.59
5516.00,13.00,151.10,33.00,4300.00,0.88
1888.00,25.00,186.60,33.00,1500.00,0.53
2594.00,19.00,175.00,30.00,2000.00,0.77
3199.00,17.00,168.70,30.00,2500.00,0.87
3493.00,17.00,161.60,37.00,2200.00,0.50
9611.00,8.00,98.20,23.00,7400.00,0.71
17655.00,1.00,15.00,33.00,13700.00,0.79
16838.00,2.00,25.50,20.00,13000.00,0.47
14864.00,3.00,34.40,36.00,11500.00,0.66
2161.00,20.00,172.40,38.00,1400.00,0.53
2184.00,23.00,171.90,32.00,1000.00,0.57
3390.00,16.00,160.30,34.00,2600.00,0.47
2167.00,22.00,160.90,19.00,1700.00,0.46
3223.00,17.00,167.80,28.00,1400.00,0.84
10929.00,6.00,83.50,36.00,8500.00,0.53
2116.00,23.00,170.60,30.00,1600.00,0.81
13053.00,4.00,50.10,18.00,10100.00,0.65
5836.00,13.00,133.70,31.00,4500.00,0.84
7521.00,11.00,119.70,31.00,5800.00,0.59
18486.00,1.00,8.70,37.00,18500.00,0.55
2136.00,22.00,169.10,23.00,1700.00,0.46
18082.00,1.00,10.10,32.00,14000.00,0.60
3334.00,17.00,169.80,31.00,2600.00,0.62
12700.00,5.00,62.50,32.00,9800.00,0.80
2152.00,24.00,173.30,21.00,1700.00,0.87
3239.00,18.00,157.50,25.00,2500.00,0.61
3399.00,17.00,165.60,21.00,2600.00,0.86
